ID_PUNTO,SITE_NO,REP_NO,VISIT_ID,LON,LAT,OBSERVADOR,OBS_ID,LOCALIDAD_2,FECHA,MES,DIA,ANO,SP_CHECK,ELEV,X,Y,METHOD
JSP01,7,JSP01JSP44098625,5,-74.29519,4.42288,JSP,3,Vereda El Penon,9/24/2020,9,24,2020,Zonotrichia capensis,2788,578197.6702,488907.9617,Survey
JSP01,7,JSP01JSP44098639,6,-74.29519,4.42288,JSP,3,Vereda El Penon,9/24/2020,9,24,2020,Turdus fuscater,2788,578197.6702,488907.9617,Survey
JSP02,8,JSP02JSP44098639,5,-74.29689,4.42213,JSP,3,Vereda Los Robles,9/24/2020,9,24,2020,Zonotrichia capensis,2788,578009.1267,488824.8743,Survey
JSP02,8,JSP02JSP44098639,5,-74.29689,4.42213,JSP,3,Vereda Los Robles,9/24/2020,9,24,2020,Zonotrichia capensis,2788,578009.1267,488824.8743,Survey
JSP02,8,JSP02JSP44098639,5,-74.29689,4.42213,JSP,3,Vereda Los Robles,9/24/2020,9,24,2020,Sturnella magna,2788,578009.1267,488824.8743,Survey
JSP02,8,JSP02JSP44098639,5,-74.29689,4.42213,JSP,3,Vereda Los Robles,9/24/2020,9,24,2020,Turdus fuscater,2788,578009.1267,488824.8743,Survey
JSP02,8,JSP02JSP44098639,5,-74.29689,4.42213,JSP,3,Vereda Los Robles,9/24/2020,9,24,2020,Zonotrichia capensis,2788,578009.1267,488824.8743,Survey
JSP02,8,JSP02JSP44098639,5,-74.29689,4.42213,JSP,3,Vereda Los Robles,9/24/2020,9,24,2020,Zonotrichia capensis,2788,578009.1267,488824.8743,Survey
JSP02,8,JSP02JSP44098639,5,-74.29689,4.42213,JSP,3,Vereda Los Robles,9/24/2020,9,24,2020,Zonotrichia capensis,2788,578009.1267,488824.8743,Survey
JSP02,8,JSP02JSP44098639,5,-74.29689,4.42213,JSP,3,Vereda Los Robles,9/24/2020,9,24,2020,Zonotrichia capensis,2788,578009.1267,488824.8743,Survey
JSP02,8,JSP02JSP44098639,5,-74.29689,4.42213,JSP,3,Vereda Los Robles,9/24/2020,9,24,2020,Zonotrichia capensis,2788,578009.1267,488824.8743,Survey
JSP02,8,JSP02JSP44098639,5,-74.29689,4.42213,JSP,3,Vereda Los Robles,9/24/2020,9,24,2020,Zonotrichia capensis,2788,578009.1267,488824.8743,Survey
JSP02,8,JSP02JSP44098639,5,-74.29689,4.42213,JSP,3,Vereda Los Robles,9/24/2020,9,24,2020,Zonotrichia capensis,2788,578009.1267,488824.8743,Survey
