"Species","BARB_H","BARB_M","BARB_EXT","BARB_NEW","weight_z","T_cul_z","Bill_w_z","Wing_l_z","Tail_l_z","Tars_z","HWI_z","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"Hylopezus perspicillatus",1,0,1,NA,0.213798247049585,-0.250293797845451,-0.148592513655691,-0.334028779411745,-0.882470448958311,0.692491769643538,-0.58886067808729,-0.128808245057644,1.08728309634411,0.273946438623077,0.973201804547953,0.125775650982602,-0.281673542943385,0.221771739855078
"Hylophylax naevioides",8,13,NA,NA,-0.454649530147808,-0.411843934069796,-0.316080689398032,-0.58441937670013,-0.776458596544911,-0.0935074254846314,-0.698864729453385,-0.995218969148195,0.994644560793434,-0.10714229214996,0.258602576295409,0.00694610535187123,-0.0962408403129062,-0.0789306290374328
"Ictinia plumbea",0,1,NA,1,1.54755422891063,0.00934034965796156,1.11953224553632,2.64894822065393,1.1337179293484,0.59346824899747,1.12590835791359,3.13098585022462,-1.41752304896655,1.40831369236261,-0.407290208300996,0.945027399162813,-0.25142623192871,-0.705765870443653
"Ixothraupis rufigula",3,0,1,NA,-0.401226952478672,-0.544545831682651,-0.507495747389279,-0.552577797854208,-0.719526305434011,-0.27917652669601,-0.116490339868178,-1.19872232424268,0.428541311514603,0.120707500211,0.178100610750074,0.0742514451382485,-0.0147322334650729,0.0385105012113381
"Laterallus albigularis",3,1,NA,NA,0.286031532812767,-0.146440138844086,-0.770691452127244,-0.415080071019546,-0.996335031180112,0.191185196372816,-0.504739932924982,-0.633820752605814,0.870712513675277,0.294657215055931,0.936953565766179,0.11489346852992,0.408137338024989,0.140758571065506
"Legatus leucophaius",0,4,NA,1,-0.287239424610136,-0.619551252072526,0.0428225443355568,-0.34850222434171,-0.42897530252321,-0.526735328311182,0.0711636301092767,-0.880706726955429,0.112042552300934,-0.0524523875279782,-0.299538617614479,0.391448788383958,-0.143254104402107,0.034310495666035
"Lepidocolaptes albolineatus",5,0,1,NA,-0.355047642174683,0.0208796451025578,-0.603203276384903,-0.289161100128855,-0.0206333524864084,-0.477223567988148,-0.058252900909658,-0.677580976795005,0.0606317993481797,-0.0168184403795349,-0.254609537219361,-0.401479716971538,0.428036181130555,-0.126058614214931
"Lepidothrix coronata",12,61,NA,NA,-1.03286557904649,-0.740713854240785,-0.579276394135997,-0.662575979321938,-0.990445483823812,-0.582436058674596,-0.420619187762675,-1.87373160943541,0.682290148001726,-0.118336437426027,0.00687686482604788,0.0558207523699567,-0.149872529620849,-0.367048579160629
"Leptotila pallida",0,1,NA,1,1.00908052416092,-0.19259732062247,-0.651057040882715,0.48661554811724,0.313107664370593,0.413988117826471,0.0452803239054899,0.791162897764521,0.134214996866556,1.15807752210628,0.181321055210459,-0.00402459773187123,0.570636156633052,0.225567186502997
"Leptotila rufaxilla",1,0,1,NA,1.19528213019052,-0.198366968344768,-0.651057040882715,0.476484136666265,0.338629036247893,0.228319016615092,0.00645536459980937,0.794466001726349,0.116045769151779,1.10995747141612,0.0661234536016143,0.152540165449452,0.788055152788338,0.280891937277592
"Leptotrygon veraguensis",3,0,1,NA,1.18556563974974,-0.209906263789364,-0.842472098873962,0.428721768397382,-0.142350664516609,0.729625589885814,0.174696854924425,0.702121454838672,0.193039683542553,1.36030599959942,0.814854811894459,0.105399457768038,0.508522642668574,0.356441686074806
"Lipaugus unirufus",2,0,1,NA,0.703945298453072,0.0151099973802597,0.25816448457571,0.431616457383375,0.686112330269594,-0.149208155848045,-0.258848523989007,0.963537234550294,0.12990014529613,0.242404031306952,-0.655809436639965,0.14843191944579,0.421992402264603,0.0454087970716766
"Lophotriccus pileatus",1,1,NA,NA,-1.10967818915535,-0.60801195662793,-0.603203276384903,-0.776916194268658,-0.741121312407111,-0.526735328311182,-0.562977371883503,-1.77038400722716,0.798048037600023,-0.196632306573515,-0.133023814313018,-0.233335715684182,-0.119881442733113,-0.299895316181768
