"Species","FUSA_H","FUSA_M","FUSA_EXT","FUSA_NEW","weight_z","T_cul_z","Bill_w_z","Wing_l_z","Tail_l_z","Tars_z","HWI_z","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"Myiothlypis coronata",8,9,NA,NA,-0.521367881777388,-0.492619002181969,-0.435715100642562,-0.496131362627347,-0.309221172945109,-0.0563736052423558,-0.647098117045811,-0.528079382166612,0.768452924694542,-0.206600658937567,0.0450626847555654,-0.0857372336813465,-0.0790090570573242,-0.0895348212529371
"Myiothlypis luteoviridis",0,6,NA,1,-0.698663693579651,-0.481079706737373,-0.483568865140373,-0.522183563501283,-0.258178429190509,-0.0378066951212178,-0.711806382555278,-0.621155711047434,0.820255351525378,-0.242029494603949,0.000697111950605289,-0.249947350847396,-0.178722234174138,-0.214557030291643
"Myiothlypis nigrocristata",4,25,NA,NA,-0.658615651855381,-0.538776183960353,-0.316080689398032,-0.594550788151105,-0.370079828960209,-0.0687515453231143,-0.957697791491254,-0.639848242019212,1.01947279698745,-0.486620698803952,-0.0504359108251951,-0.0320605421062891,-0.178195769423425,-0.177853641771587
"Myiotriccus ornatus",4,0,1,NA,-0.899267794297169,-0.613781604350228,-0.316080689398032,-0.593103443658109,-0.58799308114331,-0.532924298351561,-0.323556789498474,-1.29318339030614,0.316600149301195,-0.424644180643091,-0.203256746552845,0.256451595801768,-0.148942761794717,-0.249951329196999
"Myiozetetes cayanensis",1,0,1,NA,-0.170412343500738,-0.538776183960353,-0.172519395904596,-0.267450932733909,-0.110939745283009,-0.19871991617108,-0.582389851536343,-0.0137699920096978,0.58130888203627,-0.000275784833167009,-0.286673341171233,0.240844283717567,0.101297466511502,-0.0468346586469264
"Myornis senilis",1,1,NA,NA,-0.322170762735545,-0.411843934069796,-0.627130158633809,-0.661128634828942,-0.281736618615709,-0.118263305646149,-0.770043821513799,-0.597932791633093,0.90548314858936,-0.268372541412357,0.0191999475895421,-0.258966970941058,0.211579531784186,0.213748478156396
"Myrmotherula schisticolor",1,0,1,NA,-0.922588891985224,-0.475310059015075,-0.674983923131621,-0.690075524688871,-0.788237691257511,-0.495790478109286,-0.711806382555278,-1.54402850156467,0.652363895283959,-0.621189804171276,0.100241012367591,0.0213803664647171,0.194466030353588,-0.311596669909577
"Nephelomyias pulcher",4,0,1,NA,-0.930524837517791,-0.654169138406315,-0.651057040882715,-0.701654280632842,-0.686152203748311,-0.508168418190044,-0.56944819843445,-1.58238660508708,0.636542130692394,-0.418536560830136,-0.0461619970590218,0.0645112334832752,0.0513233291026208,-0.238302436749586
"Ochthoeca cinnamomeiventris",2,8,NA,NA,-0.753473778139228,-0.596472661183334,-0.316080689398032,-0.540999041910237,-0.38774847102911,-0.303932406857527,-0.420619187762675,-0.899302773103695,0.495823792811766,-0.275298022088666,-0.171344575394651,0.092953755272126,-0.217707695089271,-0.178068193815146
"Ochthoeca diadema",2,11,NA,NA,-0.785728683088471,-0.63686019523942,-0.483568865140373,-0.572840620756159,-0.43093848497531,-0.266798586615252,-0.459444147068355,-1.0391900259658,0.605659038868072,-0.207450649707689,-0.064530752392508,0.00206684897129697,-0.172025737263984,-0.181642107367272
"Ochthoeca fumicolor",3,0,1,NA,-0.507546054184375,-0.486849354459671,-0.531422629638185,-0.287713755635859,-0.0461547243637084,0.0178940352421957,-0.349440095702261,-0.255201568997199,0.525200326936584,0.234910705335549,-0.00583928981483411,-0.275818860490113,-0.1395070504019,-0.203304943837292
"Ocreatus underwoodii",2,9,NA,NA,-1.80411282786346,-0.354147456846816,-0.986033392367398,-0.868098897327434,-0.50946578305931,-1.18276615259139,2.86656070011827,-3.0347261591601,-2.43962486846863,0.514998140692569,-0.161670583950263,-0.568520507679595,-0.802450668021842,0.237115672063134
"Orochelidon murina",9,43,NA,NA,-0.772661533977914,-0.804179979186064,-0.651057040882715,0.146489592263075,-0.303331625588809,-0.749538249764836,1.67592861474407,-1.14905921844604,-1.38860096780284,1.28411896433335,-0.102018794757674,0.4219807740579,-0.156899496877749,-0.414808526530823
"Ortalis columbiana",1,0,1,NA,2.14223430617565,0.401676394774229,0.401725778069146,1.78054152485606,3.7859774221355,2.41302544086898,-0.808868780819479,7.3379122083224,1.00804492332533,3.04988809158072,-0.930022862972695,-2.04009073228327,-0.441251488458568,-0.0315523515964899
"Pachyramphus polychopterus",3,0,1,NA,-0.336606930135667,-0.509927945348863,0.210310720077898,-0.442579616386479,-0.41915939026271,-0.303932406857527,-0.168256952275752,-0.340811501075132,0.165744672391806,-0.398915712781351,-0.202754425122037,0.617380946295172,-0.256324396687018,0.125598550067377
