Species,ID,Family2,Order2,Avibase.ID2,MODERN,HISTORICAL,BARB_H,BARB_M,BARB_EXT,BARB_NEW,POP_BARB,SAGU_H,SAGU_M,SAGU_EXT,SAGU_NEW,POP_SAGU,TOCHE_H,TOCHE_M,TOCHE_EXT,TOCHE_NEW,POP_TOCHE,HON_H,HON_M,HON_EXT,HON_NEW,POP_HON,FLOR_H,FLOR_M,FLOR_EXT,FLOR_NEW,POP_FLOR,FUSA_H,FUSA_M,FUSA_EXT,FUSA_NEW,POP_FUSA,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Previo_nombre
Sericossypha albocristata,683,Thraupidae,Passeriformes,AVIBASE-961A51A7,20,0,,,,,,,,,,,0,20,,1,B,,,,,,,,,,,,,,,,10,5,5,0,4,25.2,14.8,6.4,7.7,25.4,136.3,35.3,101.2,25.9,93,114,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Omnivore,Insessorial,
Serpophaga cinerea,684,Tyrannidae,Passeriformes,AVIBASE-F42A1296,4,9,,,,,,3,0,1,,A,4,4,,,C,,,,,,,,,,,2,0,1,,A,9,4,5,0,4,12.2,5.7,3,2.7,16.7,56.1,8.6,47.5,15.4,47.7,8.3,Dunning,NA,NO,NA,NA,Riverine,3,1,Carnivore,Invertivore,Insessorial,
Setophaga castanea,685,Parulidae,Passeriformes,AVIBASE-10C601D3,6,1,,,,,,,,,,,,,,,,1,6,,,C,,,,,,,,,,,16,5,6,5,4,13.5,7.9,3.8,3.8,19.1,69.9,22,50.2,30.6,51.6,11.8,Dunning,NA,NO,NA,NA,Forest,1,3,Omnivore,Invertivore,Insessorial,
Setophaga fusca,686,Parulidae,Passeriformes,AVIBASE-4168AF09,21,6,,,,,,2,1,,,C,1,0,1,,A,1,8,,,C,,,,,,2,12,,,C,44,20,18,6,4,12.3,8,3.5,3.5,17.6,65.7,21.9,45.6,32.4,47.2,9.7,Dunning,NA,NO,NA,NA,Forest,1,3,Carnivore,Invertivore,Insessorial,
Setophaga petechia,687,Parulidae,Passeriformes,AVIBASE-A6C0C4A9,16,5,2,12,,,C,1,0,1,,A,,,,,,2,4,,,C,,,,,,,,,,,92,45,24,23,8,11.7,8,3.4,3.2,20,60.2,14.1,45.7,23.6,43.3,10.2,Dunning,NA,NO,NA,NA,Shrubland,1,3,Carnivore,Invertivore,Insessorial,
Setophaga pitiayumi,688,Parulidae,Passeriformes,AVIBASE-4926BC8C,5,1,,,,,,1,3,,,C,0,2,,1,B,,,,,,,,,,,,,,,,42,11,30,1,4,12,7.5,3,3.2,16.1,52.7,10.8,42.7,20.1,41.1,6.8,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,
Setophaga ruticilla,689,Parulidae,Passeriformes,AVIBASE-BED38F50,1,3,1,0,1,,A,,,,,,,,,,,2,1,,,C,,,,,,,,,,,35,18,16,1,6,12.3,6.8,4,3,17,62,15.6,48,24.6,52.6,8.2,Dunning,NA,NO,NA,NA,Forest,1,3,Carnivore,Invertivore,Insessorial,
Sicalis flaveola,690,Thraupidae,Passeriformes,AVIBASE-A5AA0BEC,44,0,,,,,,0,14,,1,B,,,,,,0,24,,1,B,0,6,,1,B,,,,,,23,4,13,6,4,11.2,8.3,5.4,7,19.5,69.5,14.5,55.8,20.6,53.4,16.9,Dunning,NA,NO,NA,NA,Shrubland,2,1,Herbivore,Granivore,Terrestrial,
Sicalis luteola,691,Thraupidae,Passeriformes,AVIBASE-85C6D2E5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,1,B,21,6,14,1,4,9.3,7,4.6,6.2,14.7,67,14.1,52.7,21.1,45.4,15.9,Dunning,NA,NO,NA,NA,Grassland,3,2,Herbivore,Granivore,Terrestrial,
Sipia berlepschi,692,Thamnophilidae,Passeriformes,AVIBASE-C68B58B6,13,19,19,13,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,4,0,0,21.5,12.6,5.1,5.5,25.6,64.3,5.2,58.4,8.2,43.9,25.6,Updated_live.sample,Live sample (museum data),NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Generalist,
