"Species","SAGU_H","SAGU_M","SAGU_EXT","SAGU_NEW","weight_z","T_cul_z","Bill_w_z","Wing_l_z","Tail_l_z","Tars_z","HWI_z","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"Siptornis striaticollis",1,0,1,NA,-0.69672197473938,-0.687006832989744,-0.840621196600222,-0.584996307515138,-0.519675098584925,-0.443717712202787,-0.10055424865562,-1.4355331303192,0.423039491377921,0.212480656313651,0.0998981402961921,-0.0934278493223611,0.0873447312974626,-0.065945855820511
"Sphenopsis frontalis",0,7,NA,1,-0.494057584101128,-0.444115128116752,-0.394420283791994,-0.46623756622017,-0.243049220116445,-0.198607190847016,-0.621047819022914,-0.668611956803591,0.760688694556242,-0.134827945429008,-0.0685450367853915,-0.16576989753741,-0.00445092800595442,-0.114622061866762
"Spinus psaltria",5,6,NA,NA,-0.991503123441694,-0.777385141779695,-0.347451766654286,-0.606458730640735,-0.714267095852408,-0.694955996592454,0.107643179491298,-1.63482339161881,0.128236341909883,-0.175196887898177,-0.305172622146889,0.250980245501419,-0.156179171772384,-0.208040645029313
"Sporathraupis cyanocephala",0,1,NA,1,0.0727729771373231,-0.393277329422405,-0.0421564052591822,-0.25018250675583,0.0526543051429658,0.0158645153392846,-0.451887408653544,0.112151147645529,0.624424769944104,-0.00647721030315701,-0.197647891860461,0.0655281400708299,-0.0336956225998419,0.175943553151664
"Sporophila intermedia",1,0,1,NA,-0.750922074218981,-0.771736497480323,-0.183061956672307,-0.696600907768241,-0.624602155935039,-0.529506394677308,-0.510442935319864,-1.2945470565347,0.711124702793787,-0.374035424103249,-0.391103194945492,0.223791400425556,-0.109759904350921,-0.0983630256579916
"Sporophila minuta",1,4,NA,NA,-1.08263349822448,-0.833871584773414,-0.276998990947723,-0.772434802812016,-0.729529213285152,-0.492739816473942,-0.425862730135179,-1.5971391502552,0.684278096037416,-0.375623740765801,-0.287228998306468,0.164827525028258,-0.321501990735838,-0.229433419843994
"Sporophila nigricollis",5,22,NA,NA,-0.925768963892198,-0.839520229072786,-0.276998990947723,-0.728079128352449,-0.664665214195991,-0.609167314117933,-0.627553988652506,-1.50921487248705,0.812491009623116,-0.371084786873624,-0.426086809406076,0.157107096959902,-0.0979292824737486,-0.226928407318939
"Stelgidopteryx ruficollis",0,7,NA,1,-0.535150470289404,-0.70395276588786,-0.394420283791994,0.013089883584822,-0.515859569226739,-0.780744679066974,1.77322260466664,-1.23979927997318,-1.40212442983177,0.635164722151473,-0.168848801955519,0.666460744186755,-0.0742649875042893,-0.016198851721434
"Stilpnia cyanicollis",26,19,NA,NA,-0.494057584101128,-0.658763611492885,-0.394420283791994,-0.532055663805333,-0.597893450427737,-0.388567844897739,-0.159109775321941,-1.09464074376141,0.43529487752168,-0.077065936712087,-0.0644664972730856,0.2369193388825,0.00740264131664037,0.0196002406903435
"Stilpnia heinei",4,1,NA,NA,-0.363762877023412,-0.749141920282835,-0.394420283791994,-0.419020235343858,-0.563553686204064,-0.37631231882995,0.0490876528249771,-1.01460044971069,0.292845974783454,0.12320674549662,-0.0775398019300447,0.3787312677705,0.0139654148298478,0.0725516830460851
