"Species","Abundance","Period","Di"
"Galbalcyrhynchus leucotis",7,"MODERN",3.23716045950547
"Geotrygon montana",1,"MODERN",2.91098200730299
"Glaucis hirsutus",15,"MODERN",4.11771770202796
"Glyphorynchus spirurus",18,"MODERN",2.6606047378228
"Hemitriccus striaticollis",18,"MODERN",3.06408232897898
"Herpetotheres cachinnans",6,"MODERN",5.26574821552011
"Hydropsalis climacocerca",1,"MODERN",3.55776413386052
"Hypocnemis peruviana",20,"MODERN",2.93161008815228
"Ictinia plumbea",1,"MODERN",4.27113070504568
"Jacana jacana",2,"MODERN",3.52110274421403
"Laterallus exilis",2,"MODERN",2.80050859046734
"Legatus leucophaius",19,"MODERN",2.62576007348858
"Leistes militaris",5,"MODERN",2.58080951912403
"Lepidothrix coronata",16,"MODERN",3.08319624121564
"Leptopogon amaurocephalus",31,"MODERN",2.77864351336094
"Leptotila rufaxilla",16,"MODERN",2.96496850937261
"Machaeropterus striolatus",24,"MODERN",3.13153861418576
"Manacus manacus",67,"MODERN",2.84382365295317
"Megaceryle torquata",5,"MODERN",5.0751140672634
"Megarynchus pitangua",3,"MODERN",3.25279364882604
"Melanerpes cruentatus",18,"MODERN",2.62260440263937
"Mesembrinibis cayennensis",5,"MODERN",7.08199015718208
"Metopothrix aurantiaca",12,"MODERN",2.89635792750266
"Microcerculus marginatus",7,"MODERN",2.95657550170881
"Milvago chimachima",9,"MODERN",4.75068726118119
"Mionectes oleagineus",21,"MODERN",2.80962122500952
"Molothrus bonariensis",4,"MODERN",2.52880927023128
"Molothrus oryzivorus",1,"MODERN",3.43822202537108
"Monasa nigrifrons",7,"MODERN",2.98126366292912
"Mustelirallus albicollis",1,"MODERN",3.12558655996075
"Myiarchus ferox",16,"MODERN",2.58333647862607
"Myiarchus tuberculifer",12,"MODERN",2.54434023828248
"Myiodynastes maculatus",13,"MODERN",2.75828390242078
"Myiopagis gaimardii",1,"MODERN",2.78890810337063
"Myiozetetes cayanensis",1,"MODERN",2.54499548760539
"Myiozetetes granadensis",8,"MODERN",2.50976900903985
"Myiozetetes similis",10,"MODERN",2.49677922584032
"Myrmelastes leucostigma",1,"MODERN",2.74360338430312
"Myrmoborus myotherinus",1,"MODERN",2.74177853393599
"Nyctibius grandis",1,"MODERN",6.07327415819226
"Nyctidromus albicollis",3,"MODERN",3.07654665169052
"Ochthornis littoralis",3,"MODERN",2.66253659118607
"Opisthocomus hoazin",13,"MODERN",6.13754824842108
"Ortalis guttata",12,"MODERN",4.62185685801657
"Orthopsittaca manilatus",10,"MODERN",5.08368863686569
"Pachyramphus polychopterus",14,"MODERN",2.58138872531319
"Pandion haliaetus",1,"MODERN",7.30930793832405
"Paroaria gularis",10,"MODERN",2.54698715105851
"Patagioenas cayennensis",10,"MODERN",3.3060800665089
"Penelope jacquacu",3,"MODERN",7.20922805617157
"Phaeomyias murina",7,"MODERN",2.87016471476113
"Phaethornis atrimentalis",30,"MODERN",4.7087498180094
